ID RUAS,Nama Jalan,NO RUAS,STA FROM,RUAS KIRI,RUAS KANAN,RUAS KIRI,RUAS KANAN
2203317-60,JLN. NURTANIO (BANDUNG),2203317,000+600,99.8,100.0,4.0,4.1
2203317-70,JLN. NURTANIO (BANDUNG),2203317,000+700,100.0,100.0,3.4,3.8
2203317-80,JLN. NURTANIO (BANDUNG),2203317,000+800,100.0,100.0,3.5,3.6
2203317-90,JLN. NURTANIO (BANDUNG),2203317,000+900,88.8,100.0,3.7,4.2
2203317-100,JLN. NURTANIO (BANDUNG),2203317,001+000,100.0,100.0,4.8,4.2
2203318-0,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+000,87.3,100.0,5.4,6.0
2203318-10,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+100,100.0,100.0,4.1,4.0
2203318-20,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+200,92.6,74.0,4.0,3.9
2203318-30,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+300,99.9,92.1,4.6,3.8
2203318-40,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+400,79.2,98.8,3.6,3.7
2203318-50,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+500,86.5,93.6,3.5,3.7
2203318-60,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+600,84.2,100.0,4.1,3.4
2203318-70,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+700,71.0,78.5,3.4,3.5
2203318-80,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+800,80.1,100.0,3.9,4.6
2203318-90,JLN. ABDUL RAHMAN SALEH (BANDUNG),2203318,000+900,68.9,100.0,4.0,3.6
2203319-0,JLN. PAJAJARAN (BANDUNG),2203319,000+000,70.6,75.2,6.1,5.6
2203319-10,JLN. PAJAJARAN (BANDUNG),2203319,000+100,64.9,76.2,3.9,4.7
2203319-20,JLN. PAJAJARAN (BANDUNG),2203319,000+200,67.1,90.9,4.6,4.0
2203319-30,JLN. PAJAJARAN (BANDUNG),2203319,000+300,66.8,86.3,4.0,5.1
2203319-40,JLN. PAJAJARAN (BANDUNG),2203319,000+400,78.3,79.4,3.9,3.9
2203319-50,JLN. PAJAJARAN (BANDUNG),2203319,000+500,76.5,74.0,3.7,3.9
2203319-60,JLN. PAJAJARAN (BANDUNG),2203319,000+600,88.5,82.5,3.9,3.7
2203319-70,JLN. PAJAJARAN (BANDUNG),2203319,000+700,80.8,62.3,3.9,5.9
2203319-80,JLN. PAJAJARAN (BANDUNG),2203319,000+800,67.0,68.7,4.7,4.6
2203319-90,JLN. PAJAJARAN (BANDUNG),2203319,000+900,68.4,74.6,4.1,4.6
2203319-100,JLN. PAJAJARAN (BANDUNG),2203319,001+000,71.9,68.5,4.3,5.0
2203319-110,JLN. PAJAJARAN (BANDUNG),2203319,001+100,66.3,57.6,7.6,6.0
220331A-0,JLN. PASIR KALIKI (BANDUNG),220331A,000+000,65.7,74.3,4.7,6.5
